customer_id,product_id,purchase_amount
C1005,P15477,70.43
C1005,P2936,57.93
C1005,P386,70.7
C1005,P4257,101.78
C1005,P8339,3.33
C1005,P9488,27.32
C1005,P9532,77.62
C1005,P9560,101.97
C1006,P12275,48.36
C1006,P16984,61.73
C1006,P2610,69.1
C1006,P4413,78.07
C1006,P5879,52.5
C1006,P6239,92.81
C1006,P8157,33.96
C1006,P9857,59.34
C1007,P10743,60.5
C1007,P1227,61.78
C1007,P13922,19.6
C1007,P16142,93.8
C1007,P16484,5.94
C1007,P1686,18.42
C1007,P2056,11.75
C1007,P2200,8.7
C1007,P4815,69.96
C1007,P5539,59.73
C1007,P5841,85.45
C1007,P5999,50.75
C1007,P6810,84.28
C1007,P6970,69.94
C1007,P7035,18.82
C1007,P8180,92.68
C1007,P9055,27.05
C1008,P10184,17.19
C1008,P11564,77.02
C1008,P11922,48.08
C1008,P13906,8.95
C1008,P4325,16.64
C1008,P9230,44.99
C1008,P9359,71.92
C1008,P9794,68.38
C1008,P9854,65.15
C1009,P10329,92.92
C1009,P12254,75.93
C1009,P12587,25.73
C1009,P1260,31.05
C1009,P13738,22.71
C1009,P13837,86.84
C1009,P13868,84.57
C1009,P16524,5.42
C1009,P3802,100.29
C1009,P5339,30.08
C1009,P7996,47.35
C1009,P9284,38.89
C1009,P9443,40.18
C101,P10822,72.17
C101,P1139,21.56
C101,P12247,59.41
C101,P1472,45.48
C101,P15718,50.36
C101,P16108,97.03
C101,P4268,60.14
C101,P4534,94.22
C101,P4917,13.4
C101,P5883,86.68
C101,P6614,30.81
C101,P812,76.13
C101,P8665,64.4
C1010,P1020,19.65
C1010,P1184,65.21
C1010,P13266,16.83
C1010,P3833,27.67
C1010,P5152,71.51
C1011,P10411,72.79
C1011,P11614,64.22
C1011,P12485,68.02
C1011,P13061,40.74
C1011,P1776,40.78
C1011,P2238,55.06
C1011,P7028,11.25
C1011,P7802,85.8
C1011,P8040,67.67
C1011,P8563,79.37
C1011,P9075,75.15
C1012,P13879,43.71
C1012,P2875,96.47
C1012,P5217,12.25
C1012,P5385,93.7
C1012,P5607,66.02
C1012,P9960,35.45
C1013,P10544,25.25
C1013,P11286,84.49
C1013,P13663,1.93
C1013,P14527,24.28
C1013,P15856,77.68
C1013,P16721,83.24
C1013,P9063,91.29
C1013,P9684,38.33
C1013,P977,60.28
C1014,P14266,84.01
C1014,P14883,75.17
C1014,P2081,69.58
C1014,P3585,18.97
C1014,P495,37.69
C1014,P5055,99.58
C1014,P6252,25.9
C1014,P9316,50.22
C1015,P13582,31.29
C1015,P1661,70.01
C1015,P2712,92.13
C1015,P4945,75.85
C1015,P6088,74.33
C1015,P6127,75.1
C1015,P6454,17.34
C1015,P7494,7.97
C1015,P8242,56.0
C1015,P9718,86.2
C1016,P11693,94.71
C1016,P13782,16.92
C1016,P14018,57.26
C1016,P4348,79.67
C1016,P6841,9.78
C1016,P7339,12.43
C1016,P8191,82.12
C1016,P8215,68.36
C1017,P12969,66.83
C1017,P15152,63.88
C1017,P16257,33.62
C1017,P16924,87.82
C1017,P1861,92.03
C1017,P2800,42.63
C1017,P2916,16.89
C1017,P3859,9.34
C1017,P6123,98.19
C1017,P8235,6.44
C1018,P12329,70.22
C1018,P12894,86.86
C1018,P14445,72.89
C1018,P15469,81.5
C1018,P15531,16.94
C1018,P2405,54.05
C1018,P7828,23.76
C1018,P858,21.25
C1018,P8911,16.97
C1018,P9297,10.61
C1018,P9671,4.35
C1019,P10520,15.79
C1019,P13174,70.16
C1019,P16246,45.8
C1019,P16725,35.61
C1019,P16734,38.0
C1019,P3710,32.46
C1019,P3924,49.62
C1019,P4403,72.54
C1019,P4807,59.5
C1019,P6042,67.28
C1019,P7482,101.44
C1019,P8114,55.43
C1019,P8787,98.23
C102,P14750,76.48
C102,P15241,24.44
C102,P16635,22.43
C102,P2104,44.86
C102,P3867,91.18
C102,P6285,21.77
C1020,P13946,89.7
C1020,P2198,40.22
C1020,P606,75.13
C1020,P7577,32.97
C1021,P10769,39.4
C1021,P10838,74.24
C1021,P11526,41.99
C1021,P14766,84.36
C1021,P15214,35.24
C1021,P15950,29.61
C1021,P16067,13.16
C1021,P1834,59.39
C1021,P3419,26.29
C1021,P5649,56.02
C1021,P6675,23.77
C1021,P6705,45.09
C1021,P714,93.28
C1021,P7583,64.92
C1021,P8308,79.5
C1022,P10465,18.44
C1022,P11267,7.21
C1022,P13446,48.07
C1022,P14122,51.89
C1022,P1456,30.25
C1022,P14619,29.72
C1022,P14638,40.61
C1022,P2616,52.77
C1022,P3443,34.57
C1022,P8859,82.31
C1023,P13664,93.9
C1023,P14580,28.82
C1023,P2579,62.13
C1023,P4985,12.35
C1023,P4991,59.67
C1023,P8477,69.17
C1023,P9014,76.76
C1023,P9922,95.02
C1024,P1009,40.69
C1024,P16882,26.16
C1024,P1830,7.86
C1024,P7021,84.48
C1024,P8671,7.51
C1024,P9019,5.73
C1025,P1146,31.73
C1025,P12486,16.96
C1025,P14000,54.09
C1025,P14578,45.61
C1025,P15828,22.53
C1025,P2375,81.18
C1025,P3492,59.74
C1025,P5754,18.15
C1025,P7279,20.58
C1025,P756,37.32
C1025,P8308,52.93
C1026,P11848,93.93
C1026,P121,80.31
C1026,P12928,57.35
C1026,P14519,61.66
C1026,P14935,23.0
C1026,P16657,56.97
C1026,P288,10.68
C1026,P2894,36.09
C1026,P3898,21.63
C1026,P5383,52.67
C1026,P5808,13.92
C1026,P7435,60.09
C1026,P7483,23.73
C1027,P10089,83.3
C1027,P12473,66.55
C1027,P16434,35.78
C1027,P16489,17.79
C1027,P16733,72.21
C1027,P3909,79.48
C1027,P4461,14.67
C1027,P4828,6.17
C1027,P5212,33.23
C1027,P7951,67.64
C1027,P8081,22.86
C1027,P8772,32.14
C1027,P9546,96.11
C1027,P9728,49.98
C1028,P10109,34.06
C1028,P14567,22.88
C1028,P14844,54.74
C1028,P15024,16.95
C1028,P16450,37.25
C1028,P3438,98.59
C1028,P3794,66.65
C1028,P56,42.72
C1028,P609,53.69
C1028,P8676,24.89
C1028,P8776,87.99
C1029,P11405,51.1
C1029,P12435,89.14
C1029,P13370,59.11
C1029,P1362,18.55
C1029,P14263,100.04
C1029,P16069,7.71
C1029,P3886,21.79
C1029,P4027,75.22
C1029,P4136,60.89
C1029,P8105,43.66
C103,P11490,79.58
C103,P13923,44.86
C103,P14939,54.21
C103,P15229,21.07
C103,P15857,5.5600000000000005
C103,P4809,54.89
C103,P5919,33.18
C103,P791,77.07
C103,P8365,33.27
C103,P8495,7.89
C103,P8710,73.03
C1030,P12789,20.26
C1030,P13199,73.46
C1030,P1412,41.85
C1030,P14823,81.38
C1030,P1572,70.98
C1030,P16082,1.69
C1030,P1829,42.73
C1030,P2137,21.47
C1030,P4050,61.43
C1030,P426,21.55
C1030,P5560,74.59
C1030,P6466,98.43
C1030,P6905,101.91
C1030,P9733,78.34
C1031,P10682,101.95
C1031,P11680,14.49
C1031,P12182,89.94
C1031,P12433,20.44
C1031,P14172,8.39
C1031,P14597,57.9
C1031,P2447,82.5
C1031,P3105,95.72
C1031,P427,65.49
C1031,P6100,32.89
C1031,P639,84.68
C1031,P6800,88.87
C1031,P8919,21.43
C1031,P8987,20.45
C1032,P12880,84.38
C1032,P13722,87.01
C1032,P15141,36.08
C1032,P16467,87.29
C1032,P2260,76.01
C1032,P3593,33.93
C1032,P619,53.73
C1032,P6624,99.91
C1032,P9166,72.56
C1032,P9190,57.7
C1033,P11399,79.38
C1033,P11923,42.37
C1033,P1312,79.47
C1033,P13638,94.44
C1033,P15422,6.25
C1033,P7177,34.4
C1033,P7479,2.55
C1033,P7705,94.94
C1033,P7818,18.4
C1033,P8535,33.79
C1033,P9218,101.85
C1033,P9888,11.71
C1034,P10455,7.06
C1034,P12437,55.08
C1034,P13478,58.21
C1034,P15332,48.69
C1034,P2544,38.59
C1034,P2651,55.57
C1034,P600,17.1
C1034,P861,6.62
C1034,P872,78.75
C1034,P9203,14.25
C1034,P9920,78.14
C1035,P11363,66.16
C1035,P12476,78.8
C1035,P1386,70.02
C1035,P2477,70.22
C1035,P3058,81.92
C1035,P4082,89.37
C1035,P6139,1.51
C1036,P15184,82.61
C1036,P15516,33.57
C1036,P15725,101.29
C1036,P438,84.81
C1036,P6930,31.4
C1036,P8183,87.45
C1037,P12116,20.36
C1037,P14033,70.58
C1037,P14627,72.86
C1037,P1795,88.21
C1037,P2758,50.25
C1037,P3094,10.52
C1037,P4648,48.39
C1037,P489,85.54
C1037,P6628,71.01
C1037,P7516,26.98
C1038,P11467,59.51
C1038,P15640,80.65
C1038,P16176,22.21
C1038,P4133,78.84
C1038,P61,20.8
C1038,P8624,27.52
C1038,P8915,69.96
C1038,P9940,41.68
C1039,P12394,62.94
C1039,P15934,24.68
C1039,P1829,28.38
C1039,P2251,41.24
C1039,P305,63.13
C1039,P4506,96.52
C1039,P4639,5.12
C1039,P8930,23.71
C104,P1003,89.85
C104,P12259,4.93
C104,P12320,48.07
C104,P12976,28.29
C104,P13090,57.82
C104,P14141,31.29
C104,P14674,88.8
C104,P2217,27.57
C104,P4871,2.83
C104,P7354,38.11
C104,P7667,73.99
C104,P8357,31.05
C104,P9263,30.31
C104,P9606,93.06
C1040,P10796,12.91
C1040,P12102,71.42
C1040,P15595,5.39
C1040,P3926,47.37
C1040,P4528,64.84
C1040,P4843,32.66
C1040,P6071,44.78
C1040,P8461,101.9
C1040,P9000,76.33
C1040,P9598,56.74
C1041,P10134,66.12
C1041,P11390,65.57
C1041,P11497,11.13
C1041,P1174,100.03
C1041,P11910,5.43
C1041,P16562,101.92
C1041,P16644,58.25
C1041,P4158,96.47
C1041,P4736,12.26
C1041,P6322,28.85
C1041,P65,41.88
C1041,P8972,55.0
C1041,P946,63.72
C1042,P11565,71.06
C1042,P12928,83.9
C1042,P14134,76.52
C1042,P14242,26.86
C1042,P2493,25.61
C1042,P4916,8.52
C1042,P7306,34.5
C1043,P11402,66.64
C1043,P13405,73.14
C1043,P14881,78.52
C1043,P14897,44.42
C1043,P16860,64.23
C1043,P227,64.55
C1043,P3100,91.01
C1043,P3835,34.02
C1043,P395,69.21
C1044,P10374,88.81
C1044,P12941,29.55
C1044,P13360,99.66
C1044,P13485,21.99
C1044,P314,52.47
C1044,P5445,100.51
C1044,P8131,63.52
C1044,P8197,81.4
C1044,P8525,87.09
C1044,P9818,30.86
C1044,P993,7.36
C1045,P10814,79.34
C1045,P12319,101.83
C1045,P12531,88.3
C1045,P15203,28.5
C1045,P15316,26.34
C1045,P15857,21.7
C1045,P2625,30.59
C1045,P4890,99.96
C1045,P4901,16.93
C1045,P5339,25.89
C1045,P5953,11.84
C1045,P8148,19.31
C1045,P8259,19.86
C1045,P8871,15.87
C1045,P9304,49.93
C1045,P9509,78.75
C1045,P9916,13.0
C1046,P10988,47.59
C1046,P1205,18.59
C1046,P13419,18.79
C1046,P14712,21.37
C1046,P15304,25.85
C1046,P2514,92.75
C1046,P2977,82.17
C1046,P3637,33.41
C1046,P6461,29.99
C1046,P656,72.56
C1046,P9239,62.43
C1047,P10997,31.93
C1047,P12327,8.67
C1047,P15116,76.33
C1047,P1599,52.13
C1047,P267,48.1
C1047,P3424,65.67
C1047,P5229,33.3
C1047,P6309,101.79
C1047,P6887,19.26
C1047,P9564,14.32
C1047,P9951,27.06
C1048,P11322,98.12
C1048,P11806,95.63
C1048,P12159,22.22
C1048,P15666,95.73
C1048,P16366,19.57
C1048,P1981,12.65
C1048,P3398,89.5
C1048,P4074,17.65
C1048,P6040,44.64
C1048,P6819,99.99
C1048,P8122,38.19
C1049,P1188,75.63
C1049,P13197,8.54
C1049,P13491,2.4
C1049,P14315,89.49
C1049,P1520,83.17
C1049,P15509,65.78
C1049,P16538,28.4
C1049,P5650,69.7
C1049,P7183,6.23
C1049,P9084,77.18
C105,P1358,20.79
C105,P1491,2.98
C105,P15429,50.44
C105,P1584,7.83
C105,P16439,35.74
C105,P3339,59.42
C105,P4509,6.13
C105,P6627,27.21
C105,P984,41.54
C1050,P14950,67.56
C1050,P3384,100.54
C1050,P7451,19.92
C1050,P7540,17.22
C1050,P9428,66.95
C1051,P13433,18.39
C1051,P13807,22.22
C1051,P15057,30.56
C1051,P2229,59.03
C1051,P3770,17.37
C1052,P10377,45.62
C1052,P11700,84.14
C1052,P12321,62.01
C1052,P14974,58.94
C1052,P16480,1.14
C1052,P5310,55.3
C1052,P7348,79.47
C1052,P8221,76.07
C1052,P900,15.63
C1053,P10374,50.01
C1053,P14865,93.32
C1053,P15360,49.14
C1053,P16755,63.74
C1053,P548,89.91
C1053,P9766,38.79
C1054,P11425,34.53
C1054,P11470,11.27
C1054,P12790,2.81
C1054,P15086,41.33
C1054,P1619,22.23
C1054,P3293,33.08
C1054,P3824,5.29
C1054,P3853,89.49
C1054,P6170,36.08
C1054,P792,25.58
C1054,P9056,8.73
C1054,P9699,7.88
C1054,P9948,100.71
C1055,P12092,94.42
C1055,P12390,88.02
C1055,P13412,37.65
C1055,P14158,80.45
C1055,P14590,22.39
C1055,P15617,41.49
C1055,P1588,31.9
C1055,P2481,44.79
C1055,P2824,100.35
C1055,P8631,77.64
C1055,P9268,91.26
C1056,P12747,88.19
C1056,P1281,15.0
C1056,P4409,39.28
C1056,P5890,49.08
C1056,P6418,79.89
C1056,P6852,81.03
C1056,P9206,40.21
C1057,P14013,15.55
C1057,P15775,5.27
C1057,P16257,101.15
C1057,P2970,49.54
C1057,P7681,45.3
C1057,P7915,71.18
C1057,P8851,14.6
C1057,P9578,99.05
C1058,P10185,2.64
C1058,P11986,5.17
C1058,P1690,16.5
C1058,P1922,59.54
C1058,P2410,46.96
C1058,P3098,52.48
C1058,P4105,43.72
C1058,P6642,8.53
C1058,P8751,91.62
C1058,P9694,68.71
C1059,P11207,57.63
C1059,P11699,15.92
C1059,P1310,6.53
C1059,P14477,93.85
C1059,P3054,82.19
C1059,P5021,91.89
C1059,P8223,13.74
C106,P13560,66.05
C106,P14911,67.57
C106,P15247,91.81
C106,P16258,44.72
C106,P2185,89.54
C106,P3407,33.87
C106,P3888,57.44
C106,P6076,24.04
C106,P7803,50.81
C106,P8061,69.98
C106,P8086,34.82
C1060,P11092,35.51
C1060,P11160,17.38
C1060,P12261,47.8
C1060,P16755,28.16
C1060,P4858,38.19
C1060,P6130,65.97
C1060,P7048,78.47
C1061,P11497,18.21
C1061,P12770,97.11
C1061,P14909,69.46
C1061,P1549,72.46
C1061,P16917,16.11
C1061,P2606,15.27
C1061,P2874,9.88
C1061,P3924,27.53
C1061,P9,40.56
C1061,P9762,67.85
C1062,P10411,22.15
C1062,P14290,60.5
C1062,P14483,2.37
C1062,P15130,79.08
C1062,P2442,31.33
C1062,P8858,72.05
C1062,P9109,82.46
C1063,P11695,66.73
C1063,P11820,67.97
C1063,P14953,32.79
C1063,P1616,18.91
C1063,P16584,30.63
C1063,P2385,51.28
C1063,P3177,34.46
C1063,P3326,42.46
C1063,P4409,39.08
C1063,P5210,49.91
C1063,P5708,55.82
C1063,P6901,51.0
C1063,P7450,48.66
C1063,P8941,76.4
C1064,P11242,5.31
C1064,P1178,43.89
C1064,P12640,25.41
C1064,P14453,46.59
C1064,P3241,55.83
C1064,P5214,64.29
C1064,P5838,64.93
C1064,P7363,87.89
C1064,P829,91.06
C1064,P91,6.35
C1065,P10277,53.97
C1065,P11102,79.6
C1065,P2445,32.82
C1065,P6247,101.69
C1065,P6311,79.86
C1066,P14465,24.7
C1066,P5015,79.12
C1066,P7603,30.34
C1066,P8367,40.04
C1067,P10928,2.13
C1067,P11089,70.16
C1067,P12009,21.06
C1067,P13192,91.33
C1067,P13772,68.68
C1067,P1485,29.47
C1067,P15080,41.33
C1067,P3524,59.69
C1067,P6374,54.25
C1067,P765,19.69
C1067,P8659,87.71
C1067,P935,101.21
C1068,P10256,32.89
C1068,P10307,31.56
C1068,P11633,75.17
C1068,P1169,15.64
C1068,P12380,57.48
C1068,P13261,71.51
C1068,P1420,30.85
C1068,P14235,50.84
C1068,P15953,54.2
C1068,P1613,9.94
C1068,P16338,22.02
C1068,P2072,25.57
C1068,P3469,83.02
C1068,P358,25.75
C1068,P5037,93.5
C1068,P5744,51.25
C1068,P6157,9.05
C1068,P8588,77.57
C1068,P867,101.91
C1068,P9131,47.3
C1069,P11707,88.98
C1069,P12467,39.17
C1069,P12546,6.35
C1069,P14762,8.82
C1069,P16410,51.24
C1069,P2803,71.3
C1069,P3472,52.12
C1069,P3515,62.02
C1069,P4630,61.31
C1069,P5669,20.24
C1069,P6275,98.82
C1069,P7427,38.49
C1069,P8913,83.46
C1069,P8967,72.71
C107,P10406,23.07
C107,P1105,15.5
C107,P12415,16.38
C107,P1309,66.39
C107,P14388,67.99
C107,P16920,98.87
C107,P188,25.37
C107,P5974,84.8
C107,P656,12.45
C1070,P10678,16.76
C1070,P13612,48.14
C1070,P13704,79.13
C1070,P14111,63.13
C1070,P16580,38.14
C1070,P3029,11.26
C1070,P5660,76.3
C1071,P10734,9.79
C1071,P11440,74.9
C1071,P12297,20.39
C1071,P14961,24.38
C1071,P1591,22.76
C1071,P15989,85.28
C1071,P16547,84.75
C1071,P2725,52.37
C1071,P437,61.18
C1071,P5236,85.77
C1071,P7070,87.44
C1071,P7242,18.57
C1071,P9479,66.44
C1072,P10171,16.67
C1072,P10281,9.21
C1072,P12449,45.94
C1072,P13030,46.75
C1072,P461,77.62
C1072,P5282,11.96
C1072,P6660,72.35
C1072,P8400,27.71
C1073,P1114,55.2
C1073,P12457,2.22
C1073,P13810,29.7
C1073,P14414,63.59
C1073,P15004,44.39
C1073,P15203,27.42
C1073,P15922,16.46
C1073,P2261,36.42
C1073,P3092,44.35
C1073,P4247,28.83
C1073,P4505,72.41
C1073,P4633,72.2
C1073,P5353,7.49
C1073,P6799,38.25
C1073,P7093,42.38
C1073,P8988,18.62
C1074,P12393,83.78
C1074,P15199,61.57
C1074,P16412,15.53
C1074,P16627,19.68
C1074,P2685,71.65
C1074,P3178,29.35
C1074,P3583,74.87
C1074,P5154,67.63
C1074,P6943,58.9
C1074,P7902,43.62
C1074,P9871,75.94
C1075,P11878,42.02
C1075,P12583,71.67
C1075,P1285,14.15
C1075,P12967,38.66
C1075,P15859,24.95
C1075,P3959,30.57
C1075,P4568,100.8
C1075,P5538,21.37
C1075,P5539,99.42
C1075,P7262,61.8
C1075,P8165,20.46
C1075,P8615,32.74
C1075,P8698,7.72
C1076,P10269,53.22
C1076,P10751,32.46
C1076,P1423,3.6
C1076,P15482,64.07
C1076,P15862,23.21
C1076,P2777,42.07
C1077,P11150,52.7
C1077,P1292,15.46
C1077,P13122,6.44
C1077,P1479,78.06
C1077,P15258,39.18
C1077,P3705,95.98
C1077,P3969,3.34
C1077,P7885,4.85
C1077,P8395,88.54
C1077,P9225,85.15
C1077,P9568,42.44
C1078,P12304,48.01
C1078,P14057,10.66
C1078,P15486,50.3
C1078,P16743,98.3
C1078,P4933,67.71
C1078,P647,24.23
C1078,P649,45.89
C1078,P8711,4.37
C1079,P11892,74.44
C1079,P1342,79.89
C1079,P14895,97.18
C1079,P15462,66.13
C1079,P235,36.33
C1079,P3303,21.09
C1079,P5966,79.49
C1079,P6884,46.84
C1079,P9587,85.47
C108,P10755,39.29
C108,P12211,67.33
C108,P12474,53.06
C108,P14640,12.93
C108,P14887,87.65
C108,P15125,68.17
C108,P16856,99.66
C108,P3548,35.73
C108,P4076,57.87
C1080,P11076,38.67
C1080,P13478,74.76
C1080,P13482,7.72
C1080,P15244,71.08
C1080,P3418,72.27
C1080,P6743,53.28
C1080,P7402,68.01
C1080,P8752,49.96
C1081,P12210,38.34
C1081,P12377,64.23
C1081,P12687,58.77
C1081,P14851,73.06
C1081,P15968,83.86
C1081,P16028,22.55
C1081,P7386,68.1
C1082,P10111,9.24
C1082,P10906,98.86
C1082,P11649,46.04
C1082,P12729,62.22
C1082,P1350,30.61
C1082,P1384,72.86
C1082,P16428,86.28
C1082,P2103,8.72
C1082,P4088,13.64
C1082,P5067,78.57
C1082,P6286,43.15
C1082,P698,1.21
C1083,P10439,101.12
C1083,P11173,99.96
C1083,P11315,85.89
C1083,P11683,82.82
C1083,P12334,60.63
C1083,P15196,66.79
C1083,P2593,16.52
C1083,P2842,57.87
C1083,P3573,79.46
C1083,P5017,31.59
C1084,P12500,5.27
C1084,P14050,76.61
C1084,P14151,40.53
C1084,P15143,98.67
C1084,P15693,72.11
C1084,P4028,53.6
C1084,P4947,48.81
C1084,P7309,67.7
C1084,P9070,36.39
C1085,P10696,81.37
C1085,P10844,98.79
C1085,P12952,74.19
C1085,P14051,18.11
C1085,P15791,47.49
C1085,P16664,85.46
C1085,P16889,81.63
C1085,P4057,51.06
C1085,P6349,73.38
C1085,P7998,38.59
C1085,P9594,2.56
C1086,P15183,11.01
C1086,P16297,35.72
C1086,P3548,90.61
C1087,P11118,49.21
C1087,P11134,20.54
C1087,P11757,29.52
C1087,P13391,68.69
C1087,P14525,64.12
C1087,P15434,59.64
C1087,P16467,7.31
C1087,P4050,7.64
C1087,P524,17.54
C1087,P8795,94.32
C1088,P10601,89.7
C1088,P12310,53.37
C1088,P13325,79.08
C1088,P1573,82.9
C1088,P16581,92.11
C1088,P2019,72.33
C1088,P5958,97.29
C1088,P8627,1.41
C1088,P9716,89.75
C1089,P10031,43.92
C1089,P1177,73.55
C1089,P12864,18.9
C1089,P13212,93.97
C1089,P14822,1.62
C1089,P16098,2.3
C1089,P16194,58.01
C1089,P2126,85.56
C1089,P2992,78.16
C1089,P3915,26.26
C1089,P5477,6.14
C1089,P5667,15.92
C1089,P6535,94.46
C1089,P6737,6.89
C1089,P7320,42.92
C109,P11360,64.23
C109,P12005,49.48
C109,P12955,57.52
C109,P14025,99.99
C109,P4713,89.85
C109,P5601,47.44
C109,P5611,87.47
C109,P571,15.02
C109,P587,28.04
C109,P8238,79.81
C109,P8447,19.29
C109,P8626,13.4
C109,P9257,11.09
C1090,P10318,16.86
C1090,P10937,49.49
C1090,P13757,66.48
C1090,P14947,99.97
C1090,P1618,96.52
C1090,P2148,64.43
C1090,P4310,41.15
C1090,P4769,5.65
C1091,P12166,53.0
C1091,P12196,26.96
C1091,P14931,38.78
C1091,P15062,64.26
C1091,P1816,95.03
C1091,P1859,91.54
C1091,P2928,37.03
C1091,P4260,47.5
C1091,P5045,67.78
C1091,P6894,45.13
C1091,P8259,54.81
C1092,P11197,24.16
C1092,P12331,5.13
C1092,P14854,39.83
C1092,P158,23.13
C1092,P16321,5.49
C1092,P16445,67.44
C1092,P2360,80.15
C1092,P578,82.12
C1092,P7332,62.62
C1092,P8106,26.62
C1092,P9275,81.64
C1092,P9851,3.1
C1093,P11181,13.83
C1093,P11483,15.95
C1093,P13939,19.66
C1093,P16876,37.43
C1093,P3025,56.37
C1093,P334,79.29
C1093,P5222,3.02
C1093,P8202,25.95
C1093,P9990,60.38
C1094,P13048,17.87
C1094,P16764,36.64
C1094,P3423,49.48
C1094,P4375,28.77
C1094,P4445,30.02
C1094,P7090,89.2
C1094,P7099,75.22
C1094,P7338,99.99
C1095,P13461,22.72
C1095,P13699,77.56
C1095,P14368,51.97
C1095,P16991,14.74
C1095,P1967,10.93
C1095,P3975,35.45
C1095,P4072,40.52
C1095,P4205,4.04
C1095,P6402,45.07
C1095,P8404,33.45
C1095,P8458,56.68
C1095,P9008,67.76
C1096,P10691,97.05
C1096,P1261,41.34
C1096,P1305,80.29
C1096,P14025,37.94
C1096,P14430,48.29
C1096,P15396,42.56
C1096,P15764,76.39
C1096,P6397,45.7
C1097,P1183,69.9
C1097,P12524,31.35
C1097,P14658,92.66
C1097,P15881,71.83
C1097,P4866,91.75
C1097,P6293,38.88
C1097,P6814,81.25
C1097,P7171,43.21
C1097,P7445,40.79
C1097,P8184,26.46
C1097,P9305,100.33
C1098,P10501,25.17
C1098,P10827,18.91
C1098,P14422,25.04
C1098,P14758,19.74
C1098,P15736,73.44
C1098,P3304,82.34
C1098,P3501,51.74
C1098,P3890,51.69
C1098,P423,50.49
C1098,P6847,35.33
C1098,P7229,78.07
C1098,P7294,57.03
C1098,P8595,31.23
C1099,P1144,73.6
C1099,P14687,6.94
C1099,P15076,5.77
C1099,P16318,57.45
C1099,P7275,3.95
C1099,P9485,56.08
C11,P126,51.06
C11,P13951,14.15
C11,P15038,4.6
C11,P15730,55.67
C11,P3018,76.89
C11,P3820,25.71
C11,P7267,31.79
C11,P8818,88.59
C110,P10838,57.54
C110,P11658,19.48
C110,P12446,62.91
C110,P14590,37.47
C110,P14991,53.27
C110,P15190,92.82
C110,P16703,81.34
C110,P267,51.4
C110,P3414,8.53
C110,P5235,58.47
C110,P5557,95.02
C110,P6436,9.91
C1100,P11437,94.48
C1100,P14207,70.98
C1100,P1831,16.17
C1100,P3584,67.15
C1100,P6154,65.0
C1101,P11224,61.77
C1101,P11707,2.29
C1101,P15164,67.62
C1101,P15166,21.31
C1101,P15822,40.96
C1101,P16144,35.81
C1101,P166,22.16
C1101,P3174,1.45
C1101,P5625,85.78
C1101,P649,93.66
C1102,P10071,57.32
C1102,P10430,66.68
C1102,P11133,14.12
C1102,P11197,37.96
C1102,P12542,53.96
C1102,P14650,16.37
C1102,P14813,77.22
C1102,P15768,98.05
C1102,P16180,76.73
C1102,P16872,29.02
C1102,P2108,101.81
C1102,P2568,3.01
C1102,P4212,19.54
C1102,P5138,1.5699999999999998
C1102,P640,45.11
C1102,P8971,71.79
C1103,P12,5.55
C1103,P12070,66.37
C1103,P245,26.89
C1103,P5779,10.34
C1103,P5968,16.56
C1103,P6981,85.95
C1104,P10626,51.53
C1104,P11845,23.85
C1104,P13767,2.68
C1104,P1632,72.18
